    id      t_sec       phi_rad    lambda_rad           h_m       psi_rad     theta_rad        xi_radsaved (Y/N)
    80     +8.000  +0.752360287  -0.130410803  +1289.070263    +0.6954089    -0.0196494    +0.0048564    +1
    81     +8.100  +0.752360651  -0.130410387  +1289.086273    +0.6952809    -0.0183279    +0.0050157    +1
    82     +8.200  +0.752361015  -0.130409970  +1289.103521    +0.6949870    -0.0172358    +0.0049151    +1
    83     +8.300  +0.752361379  -0.130409554  +1289.121945    +0.6946409    -0.0166750    +0.0046752    +1
    84     +8.400  +0.752361743  -0.130409137  +1289.141064    +0.6942517    -0.0165672    +0.0044211    +1
    85     +8.500  +0.752362107  -0.130408721  +1289.160164    +0.6938997    -0.0167431    +0.0041721    +1
    86     +8.600  +0.752362471  -0.130408304  +1289.178888    +0.6937710    -0.0171035    +0.0038789    +1
    87     +8.700  +0.752362835  -0.130407888  +1289.197437    +0.6940193    -0.0175775    +0.0036224    +1
    88     +8.800  +0.752363198  -0.130407472  +1289.215577    +0.6946397    -0.0174870    +0.0035215    +1
    89     +8.900  +0.752363562  -0.130407056  +1289.233095    +0.6955062    -0.0167197    +0.0036301    +1
    90     +9.000  +0.752363926  -0.130406640  +1289.250673    +0.6964389    -0.0161362    +0.0038809    +1
    91     +9.100  +0.752364289  -0.130406224  +1289.268816    +0.6973357    -0.0160713    +0.0041226    +1
    92     +9.200  +0.752364653  -0.130405808  +1289.287025    +0.6981749    -0.0161492    +0.0043220    +1
    93     +9.300  +0.752365017  -0.130405392  +1289.304923    +0.6989568    -0.0160256    +0.0044588    +1
    94     +9.400  +0.752365380  -0.130404976  +1289.322624    +0.6995927    -0.0157420    +0.0045613    +1
    95     +9.500  +0.752365744  -0.130404560  +1289.340122    +0.6999608    -0.0156730    +0.0046511    +1
    96     +9.600  +0.752366108  -0.130404144  +1289.357283    +0.7001094    -0.0160259    +0.0046485    +1
    97     +9.700  +0.752366471  -0.130403728  +1289.374020    +0.7001286    -0.0165008    +0.0045604    +1
    98     +9.800  +0.752366835  -0.130403311  +1289.390470    +0.7001049    -0.0168887    +0.0044202    +1
    99     +9.900  +0.752367198  -0.130402895  +1289.406876    +0.7001309    -0.0171280    +0.0042590    +1
   100    +10.000  +0.752367562  -0.130402479  +1289.423229    +0.7002195    -0.0174131    +0.0041583    +1
   101    +10.100  +0.752367926  -0.130402063  +1289.439358    +0.7002584    -0.0179735    +0.0041448    +1
   102    +10.200  +0.752368290  -0.130401647  +1289.454939    +0.7000992    -0.0183327    +0.0041739    +1
   103    +10.300  +0.752368653  -0.130401230  +1289.469858    +0.6996675    -0.0180110    +0.0041786    +1
   104    +10.400  +0.752369017  -0.130400814  +1289.484558    +0.6990325    -0.0170516    +0.0041025    +1
   105    +10.500  +0.752369381  -0.130400397  +1289.499829    +0.6984405    -0.0161435    +0.0039281    +1
   106    +10.600  +0.752369745  -0.130399981  +1289.516141    +0.6981763    -0.0157731    +0.0037436    +1
   107    +10.700  +0.752370108  -0.130399565  +1289.533440    +0.6983235    -0.0159895    +0.0037094    +1
   108    +10.800  +0.752370472  -0.130399149  +1289.551361    +0.6986877    -0.0167504    +0.0039659    +1
   109    +10.900  +0.752370836  -0.130398732  +1289.569436    +0.6990580    -0.0177449    +0.0043829    +1
   110    +11.000  +0.752371199  -0.130398316  +1289.586972    +0.6994797    -0.0182427    +0.0047222    +1
   111    +11.100  +0.752371563  -0.130397900  +1289.603475    +0.7000088    -0.0177907    +0.0050078    +1
   112    +11.200  +0.752371926  -0.130397485  +1289.619452    +0.7005503    -0.0171620    +0.0053022    +1
   113    +11.300  +0.752372290  -0.130397069  +1289.635850    +0.7009833    -0.0172460    +0.0055613    +1
   114    +11.400  +0.752372653  -0.130396653  +1289.652945    +0.7012389    -0.0177385    +0.0057388    +1
   115    +11.500  +0.752373016  -0.130396237  +1289.670409    +0.7012373    -0.0180720    +0.0058298    +1
   116    +11.600  +0.752373379  -0.130395821  +1289.688210    +0.7010315    -0.0184856    +0.0057850    +1
   117    +11.700  +0.752373742  -0.130395406  +1289.706414    +0.7007703    -0.0192690    +0.0056158    +1
   118    +11.800  +0.752374105  -0.130394990  +1289.724630    +0.7005115    -0.0201878    +0.0053993    +1
   119    +11.900  +0.752374468  -0.130394574  +1289.742310    +0.7003227    -0.0206737    +0.0051695    +1
   120    +12.000  +0.752374831  -0.130394158  +1289.758996    +0.7002230    -0.0203679    +0.0049567    +1
   121    +12.100  +0.752375194  -0.130393743  +1289.774744    +0.7001382    -0.0197187    +0.0047790    +1
   122    +12.200  +0.752375557  -0.130393327  +1289.790249    +0.7000855    -0.0194245    +0.0045822    +1
   123    +12.300  +0.752375919  -0.130392911  +1289.806130    +0.7001525    -0.0195269    +0.0043579    +1
   124    +12.400  +0.752376282  -0.130392496  +1289.822638    +0.7004069    -0.0198472    +0.0041328    +1
   125    +12.500  +0.752376645  -0.130392080  +1289.839980    +0.7009193    -0.0202842    +0.0039222    +1
   126    +12.600  +0.752377008  -0.130391665  +1289.858212    +0.7016587    -0.0205627    +0.0037963    +1
   127    +12.700  +0.752377370  -0.130391249  +1289.876929    +0.7024553    -0.0204713    +0.0037917    +1
   128    +12.800  +0.752377733  -0.130390834  +1289.895975    +0.7031233    -0.0199594    +0.0038762    +1
   129    +12.900  +0.752378096  -0.130390418  +1289.915976    +0.7035278    -0.0194181    +0.0039911    +1
   130    +13.000  +0.752378458  -0.130390003  +1289.937590    +0.7036293    -0.0193405    +0.0040591    +1
   131    +13.100  +0.752378821  -0.130389587  +1289.960290    +0.7035025    -0.0195075    +0.0039674    +1
   132    +13.200  +0.752379184  -0.130389172  +1289.983174    +0.7032926    -0.0192229    +0.0036823    +1
   133    +13.300  +0.752379546  -0.130388757  +1290.006284    +0.7031085    -0.0186428    +0.0032993    +1
   134    +13.400  +0.752379909  -0.130388341  +1290.029842    +0.7029365    -0.0181965    +0.0029449    +1
   135    +13.500  +0.752380271  -0.130387926  +1290.053663    +0.7026899    -0.0181259    +0.0026641    +1
   136    +13.600  +0.752380633  -0.130387511  +1290.077444    +0.7023243    -0.0184583    +0.0024326    +1
   137    +13.700  +0.752380996  -0.130387096  +1290.101009    +0.7018728    -0.0193258    +0.0021881    +1
   138    +13.800  +0.752381358  -0.130386681  +1290.124025    +0.7014164    -0.0205183    +0.0019394    +1
   139    +13.900  +0.752381720  -0.130386266  +1290.145945    +0.7010083    -0.0215371    +0.0017284    +1
   140    +14.000  +0.752382082  -0.130385851  +1290.166072    +0.7006607    -0.0219427    +0.0015771    +1
   141    +14.100  +0.752382444  -0.130385437  +1290.184124    +0.7003277    -0.0218530    +0.0015458    +1
   142    +14.200  +0.752382807  -0.130385022  +1290.200515    +0.6999183    -0.0218377    +0.0016299    +1
   143    +14.300  +0.752383169  -0.130384607  +1290.215330    +0.6994042    -0.0218957    +0.0017453    +1
   144    +14.400  +0.752383531  -0.130384193  +1290.228393    +0.6988207    -0.0216224    +0.0018270    +1
   145    +14.500  +0.752383893  -0.130383778  +1290.240168    +0.6982340    -0.0214493    +0.0018601    +1
   146    +14.600  +0.752384255  -0.130383364  +1290.250902    +0.6976497    -0.0217746    +0.0018946    +1
   147    +14.700  +0.752384617  -0.130382949  +1290.259952    +0.6969855    -0.0220111    +0.0019865    +1
   148    +14.800  +0.752384980  -0.130382535  +1290.267070    +0.6962989    -0.0217151    +0.0020626    +1
   149    +14.900  +0.752385342  -0.130382120  +1290.273070    +0.6957354    -0.0210297    +0.0020851    +1
   150    +15.000  +0.752385704  -0.130381706  +1290.278682    +0.6954201    -0.0202481    +0.0021006    +1
