    id      t_sec       phi_rad    lambda_rad           h_m       psi_rad     theta_rad        xi_radsaved (Y/N)
  3357   +335.700  +0.752549714  -0.130223233  +1290.367215    +0.7181446    -0.0260066    +0.0016325    +1
  3358   +335.800  +0.752550068  -0.130222806  +1290.375022    +0.7181081    -0.0256220    +0.0008649    +1
  3359   +335.900  +0.752550422  -0.130222379  +1290.383630    +0.7179059    -0.0259221    +0.0003227    +1
  3360   +336.000  +0.752550777  -0.130221952  +1290.393214    +0.7175109    -0.0272981    +0.0000792    +1
  3361   +336.100  +0.752551131  -0.130221525  +1290.402931    +0.7169199    -0.0292414    +0.0001157    +1
  3362   +336.200  +0.752551485  -0.130221098  +1290.411317    +0.7162891    -0.0310173    +0.0003548    +1
  3363   +336.300  +0.752551840  -0.130220671  +1290.417120    +0.7158353    -0.0320392    +0.0008051    +1
  3364   +336.400  +0.752552194  -0.130220243  +1290.420038    +0.7156771    -0.0324449    +0.0013587    +1
  3365   +336.500  +0.752552549  -0.130219816  +1290.420151    +0.7158209    -0.0326499    +0.0018249    +1
  3366   +336.600  +0.752552904  -0.130219389  +1290.417856    +0.7161687    -0.0330459    +0.0020268    +1
  3367   +336.700  +0.752553259  -0.130218961  +1290.413806    +0.7165832    -0.0339111    +0.0018669    +1
  3368   +336.800  +0.752553614  -0.130218534  +1290.408297    +0.7169301    -0.0350645    +0.0014897    +1
  3369   +336.900  +0.752553970  -0.130218106  +1290.401829    +0.7170958    -0.0361969    +0.0010739    +1
  3370   +337.000  +0.752554326  -0.130217678  +1290.394696    +0.7170441    -0.0369578    +0.0006231    +1
  3371   +337.100  +0.752554681  -0.130217250  +1290.386695    +0.7167579    -0.0369474    +0.0003792    +1
  3372   +337.200  +0.752555037  -0.130216822  +1290.378024    +0.7161781    -0.0362412    +0.0006986    +1
  3373   +337.300  +0.752555394  -0.130216394  +1290.369531    +0.7152908    -0.0354714    +0.0016218    +1
  3374   +337.400  +0.752555750  -0.130215965  +1290.361810    +0.7143024    -0.0351472    +0.0028517    +1
  3375   +337.500  +0.752556106  -0.130215537  +1290.354429    +0.7134520    -0.0349600    +0.0041655    +1
  3376   +337.600  +0.752556463  -0.130215109  +1290.346869    +0.7128050    -0.0341004    +0.0053161    +1
  3377   +337.700  +0.752556819  -0.130214680  +1290.339644    +0.7123610    -0.0329600    +0.0062103    +1
  3378   +337.800  +0.752557176  -0.130214251  +1290.333615    +0.7121608    -0.0323005    +0.0068270    +1
  3379   +337.900  +0.752557533  -0.130213823  +1290.328839    +0.7122675    -0.0321859    +0.0073266    +1
  3380   +338.000  +0.752557890  -0.130213394  +1290.325127    +0.7127274    -0.0321015    +0.0077270    +1
  3381   +338.100  +0.752558246  -0.130212965  +1290.322875    +0.7135480    -0.0318994    +0.0079005    +1
  3382   +338.200  +0.752558603  -0.130212536  +1290.322199    +0.7145333    -0.0316371    +0.0079617    +1
  3383   +338.300  +0.752558960  -0.130212107  +1290.322939    +0.7153647    -0.0311659    +0.0081142    +1
  3384   +338.400  +0.752559316  -0.130211678  +1290.325372    +0.7159867    -0.0307304    +0.0082529    +1
  3385   +338.500  +0.752559673  -0.130211249  +1290.329687    +0.7165669    -0.0307407    +0.0082001    +1
  3386   +338.600  +0.752560030  -0.130210820  +1290.335363    +0.7171169    -0.0309566    +0.0078995    +1
  3387   +338.700  +0.752560386  -0.130210391  +1290.341525    +0.7175893    -0.0309014    +0.0073274    +1
  3388   +338.800  +0.752560743  -0.130209961  +1290.347565    +0.7179916    -0.0302435    +0.0064964    +1
  3389   +338.900  +0.752561100  -0.130209532  +1290.353948    +0.7182547    -0.0293980    +0.0056168    +1
  3390   +339.000  +0.752561456  -0.130209103  +1290.361297    +0.7183277    -0.0287935    +0.0048261    +1
  3391   +339.100  +0.752561813  -0.130208673  +1290.369449    +0.7181978    -0.0283210    +0.0043238    +1
  3392   +339.200  +0.752562169  -0.130208244  +1290.378317    +0.7179488    -0.0279294    +0.0041071    +1
  3393   +339.300  +0.752562526  -0.130207814  +1290.388049    +0.7176749    -0.0277198    +0.0039533    +1
  3394   +339.400  +0.752562882  -0.130207385  +1290.398734    +0.7174159    -0.0275934    +0.0037293    +1
  3395   +339.500  +0.752563238  -0.130206956  +1290.410473    +0.7172079    -0.0274546    +0.0033366    +1
  3396   +339.600  +0.752563595  -0.130206527  +1290.423022    +0.7170671    -0.0270913    +0.0027414    +1
  3397   +339.700  +0.752563951  -0.130206098  +1290.435986    +0.7169957    -0.0265123    +0.0020060    +1
  3398   +339.800  +0.752564307  -0.130205669  +1290.448947    +0.7170127    -0.0259513    +0.0012120    +1
  3399   +339.900  +0.752564663  -0.130205240  +1290.461854    +0.7172368    -0.0255998    +0.0004945    +1
  3400   +340.000  +0.752565019  -0.130204812  +1290.475396    +0.7176951    -0.0258648    -0.0000007    +1
  3401   +340.100  +0.752565375  -0.130204384  +1290.489540    +0.7182529    -0.0262096    -0.0002223    +1
  3402   +340.200  +0.752565731  -0.130203956  +1290.503698    +0.7187578    -0.0259887    -0.0003192    +1
  3403   +340.300  +0.752566087  -0.130203528  +1290.518095    +0.7190943    -0.0253743    -0.0005607    +1
  3404   +340.400  +0.752566443  -0.130203100  +1290.532812    +0.7192294    -0.0246116    -0.0009923    +1
  3405   +340.500  +0.752566798  -0.130202672  +1290.547954    +0.7191978    -0.0239197    -0.0013447    +1
  3406   +340.600  +0.752567154  -0.130202245  +1290.563980    +0.7189088    -0.0235857    -0.0013743    +1
  3407   +340.700  +0.752567510  -0.130201817  +1290.581005    +0.7182159    -0.0235363    -0.0012349    +1
  3408   +340.800  +0.752567866  -0.130201390  +1290.599072    +0.7171050    -0.0237978    -0.0010231    +1
  3409   +340.900  +0.752568221  -0.130200963  +1290.618091    +0.7157172    -0.0241770    -0.0006406    +1
  3410   +341.000  +0.752568577  -0.130200536  +1290.638136    +0.7141891    -0.0245495    +0.0000759    +1
  3411   +341.100  +0.752568933  -0.130200109  +1290.658944    +0.7127683    -0.0248729    +0.0010541    +1
  3412   +341.200  +0.752569288  -0.130199683  +1290.679774    +0.7117580    -0.0253185    +0.0021029    +1
  3413   +341.300  +0.752569644  -0.130199256  +1290.699851    +0.7112841    -0.0259366    +0.0030847    +1
  3414   +341.400  +0.752570000  -0.130198830  +1290.718703    +0.7114001    -0.0263614    +0.0038465    +1
  3415   +341.500  +0.752570356  -0.130198403  +1290.736616    +0.7120917    -0.0266654    +0.0043633    +1
  3416   +341.600  +0.752570712  -0.130197977  +1290.754008    +0.7132509    -0.0270409    +0.0047022    +1
  3417   +341.700  +0.752571068  -0.130197550  +1290.770777    +0.7146417    -0.0273607    +0.0048793    +1
  3418   +341.800  +0.752571424  -0.130197124  +1290.786685    +0.7159599    -0.0274611    +0.0049175    +1
  3419   +341.900  +0.752571779  -0.130196697  +1290.801806    +0.7169584    -0.0277459    +0.0048213    +1
  3420   +342.000  +0.752572135  -0.130196271  +1290.816401    +0.7174696    -0.0288598    +0.0045639    +1
  3421   +342.100  +0.752572491  -0.130195844  +1290.830198    +0.7174960    -0.0306294    +0.0041358    +1
  3422   +342.200  +0.752572847  -0.130195418  +1290.842304    +0.7171702    -0.0319095    +0.0035712    +1
  3423   +342.300  +0.752573203  -0.130194991  +1290.852107    +0.7166397    -0.0319675    +0.0031323    +1
  3424   +342.400  +0.752573559  -0.130194564  +1290.859845    +0.7160952    -0.0311726    +0.0029935    +1
  3425   +342.500  +0.752573916  -0.130194137  +1290.866463    +0.7156135    -0.0304881    +0.0032139    +1
  3426   +342.600  +0.752574272  -0.130193710  +1290.872980    +0.7151448    -0.0303781    +0.0036906    +1
  3427   +342.700  +0.752574628  -0.130193283  +1290.879930    +0.7147564    -0.0308794    +0.0040838    +1
  3428   +342.800  +0.752574984  -0.130192856  +1290.886725    +0.7145467    -0.0309052    +0.0043157    +1
  3429   +342.900  +0.752575341  -0.130192429  +1290.893176    +0.7146144    -0.0299286    +0.0032883    +1
  3430   +343.000  +0.752575697  -0.130192002  +1290.900752    +0.7152959    -0.0289299    -0.0007651    +1
  3431   +343.100  +0.752576054  -0.130191575  +1290.910884    +0.7168655    -0.0286952    -0.0075192    +1
  3432   +343.200  +0.752576411  -0.130191148  +1290.923908    +0.7191444    -0.0288094    -0.0159978    +1
  3433   +343.300  +0.752576768  -0.130190722  +1290.939596    +0.7217692    -0.0286453    -0.0254518    +1
  3434   +343.400  +0.752577125  -0.130190296  +1290.957239    +0.7242946    -0.0277672    -0.0352779    +1
  3435   +343.500  +0.752577482  -0.130189870  +1290.976561    +0.7260715    -0.0264680    -0.0451106    +1
  3436   +343.600  +0.752577839  -0.130189445  +1290.997851    +0.7265859    -0.0257399    -0.0548972    +1
  3437   +343.700  +0.752578197  -0.130189022  +1291.020416    +0.7256362    -0.0258508    -0.0646609    +1
  3438   +343.800  +0.752578556  -0.130188598  +1291.042938    +0.7232504    -0.0260979    -0.0744068    +1
  3439   +343.900  +0.752578915  -0.130188177  +1291.065341    +0.7197597    -0.0265861    -0.0840335    +1
  3440   +344.000  +0.752579275  -0.130187756  +1291.087930    +0.7155664    -0.0272443    -0.0933513    +1
  3441   +344.100  +0.752579635  -0.130187337  +1291.110724    +0.7108681    -0.0274315    -0.1021359    +1
  3442   +344.200  +0.752579996  -0.130186919  +1291.133744    +0.7059418    -0.0269318    -0.1103056    +1
  3443   +344.300  +0.752580359  -0.130186504  +1291.157202    +0.7012179    -0.0261221    -0.1178712    +1
  3444   +344.400  +0.752580722  -0.130186091  +1291.181823    +0.6969602    -0.0257402    -0.1246809    +1
  3445   +344.500  +0.752581087  -0.130185679  +1291.207862    +0.6930988    -0.0256801    -0.1306342    +1
  3446   +344.600  +0.752581452  -0.130185271  +1291.235022    +0.6894376    -0.0252681    -0.1357595    +1
  3447   +344.700  +0.752581819  -0.130184864  +1291.263164    +0.6857658    -0.0243653    -0.1401374    +1
  3448   +344.800  +0.752582187  -0.130184460  +1291.292532    +0.6818344    -0.0232638    -0.1439351    +1
  3449   +344.900  +0.752582556  -0.130184059  +1291.323320    +0.6775089    -0.0226581    -0.1473205    +1
  3450   +345.000  +0.752582926  -0.130183660  +1291.355093    +0.6727766    -0.0227507    -0.1504676    +1
  3451   +345.100  +0.752583298  -0.130183265  +1291.386646    +0.6677031    -0.0230235    -0.1534631    +1
  3452   +345.200  +0.752583671  -0.130182871  +1291.416944    +0.6622924    -0.0231472    -0.1562745    +1
  3453   +345.300  +0.752584045  -0.130182481  +1291.445892    +0.6565941    -0.0236927    -0.1588420    +1
  3454   +345.400  +0.752584420  -0.130182093  +1291.473273    +0.6506972    -0.0249626    -0.1611736    +1
  3455   +345.500  +0.752584797  -0.130181708  +1291.498378    +0.6448075    -0.0269515    -0.1633300    +1
  3456   +345.600  +0.752585175  -0.130181326  +1291.520239    +0.6391272    -0.0291907    -0.1652945    +1
  3457   +345.700  +0.752585554  -0.130180946  +1291.537787    +0.6337434    -0.0310809    -0.1669811    +1
  3458   +345.800  +0.752585935  -0.130180570  +1291.550481    +0.6286416    -0.0325456    -0.1683036    +1
  3459   +345.900  +0.752586318  -0.130180196  +1291.558429    +0.6236842    -0.0336122    -0.1692318    +1
  3460   +346.000  +0.752586702  -0.130179825  +1291.562146    +0.6186604    -0.0342922    -0.1698162    +1
  3461   +346.100  +0.752587087  -0.130179457  +1291.562657    +0.6133903    -0.0349583    -0.1701931    +1
  3462   +346.200  +0.752587474  -0.130179092  +1291.560835    +0.6078739    -0.0359469    -0.1705625    +1
  3463   +346.300  +0.752587863  -0.130178729  +1291.556920    +0.6022271    -0.0369056    -0.1710716    +1
  3464   +346.400  +0.752588253  -0.130178370  +1291.550958    +0.5964598    -0.0370779    -0.1716250    +1
  3465   +346.500  +0.752588645  -0.130178013  +1291.543576    +0.5905883    -0.0365546    -0.1720921    +1
  3466   +346.600  +0.752589038  -0.130177659  +1291.535600    +0.5846253    -0.0359919    -0.1724644    +1
  3467   +346.700  +0.752589433  -0.130177309  +1291.527149    +0.5784688    -0.0355021    -0.1728229    +1
  3468   +346.800  +0.752589829  -0.130176961  +1291.518340    +0.5720592    -0.0349200    -0.1732161    +1
  3469   +346.900  +0.752590227  -0.130176616  +1291.509979    +0.5655899    -0.0342715    -0.1737180    +1
  3470   +347.000  +0.752590627  -0.130176274  +1291.502856    +0.5593800    -0.0337196    -0.1743478    +1
  3471   +347.100  +0.752591028  -0.130175936  +1291.497455    +0.5535406    -0.0333450    -0.1748472    +1
  3472   +347.200  +0.752591431  -0.130175601  +1291.493881    +0.5478679    -0.0329881    -0.1750990    +1
  3473   +347.300  +0.752591835  -0.130175268  +1291.491864    +0.5420790    -0.0322316    -0.1752069    +1
  3474   +347.400  +0.752592241  -0.130174939  +1291.491454    +0.5361064    -0.0310747    -0.1753366    +1
  3475   +347.500  +0.752592649  -0.130174614  +1291.493048    +0.5299690    -0.0299235    -0.1755193    +1
  3476   +347.600  +0.752593057  -0.130174291  +1291.496867    +0.5235659    -0.0288425    -0.1757801    +1
  3477   +347.700  +0.752593468  -0.130173972  +1291.502956    +0.5168717    -0.0282029    -0.1761305    +1
  3478   +347.800  +0.752593879  -0.130173657  +1291.511080    +0.5100399    -0.0280604    -0.1765317    +1
  3479   +347.900  +0.752594292  -0.130173344  +1291.521377    +0.5033452    -0.0283279    -0.1769639    +1
  3480   +348.000  +0.752594706  -0.130173035  +1291.533932    +0.4969605    -0.0290694    -0.1773660    +1
  3481   +348.100  +0.752595122  -0.130172730  +1291.547740    +0.4908063    -0.0294310    -0.1776622    +1
  3482   +348.200  +0.752595539  -0.130172428  +1291.561968    +0.4848013    -0.0289231    -0.1777854    +1
  3483   +348.300  +0.752595957  -0.130172129  +1291.576752    +0.4789698    -0.0284321    -0.1776440    +1
  3484   +348.400  +0.752596377  -0.130171834  +1291.592052    +0.4732858    -0.0287595    -0.1773003    +1
  3485   +348.500  +0.752596798  -0.130171542  +1291.607226    +0.4675880    -0.0295039    -0.1768678    +1
  3486   +348.600  +0.752597220  -0.130171253  +1291.621882    +0.4617365    -0.0298408    -0.1765115    +1
  3487   +348.700  +0.752597643  -0.130170968  +1291.636084    +0.4557427    -0.0294649    -0.1763129    +1
  3488   +348.800  +0.752598068  -0.130170686  +1291.650272    +0.4496780    -0.0286259    -0.1762177    +1
  3489   +348.900  +0.752598494  -0.130170408  +1291.665095    +0.4436735    -0.0275662    -0.1762239    +1
  3490   +349.000  +0.752598921  -0.130170133  +1291.681007    +0.4379039    -0.0266089    -0.1762964    +1
  3491   +349.100  +0.752599349  -0.130169861  +1291.698223    +0.4323492    -0.0258775    -0.1763264    +1
  3492   +349.200  +0.752599779  -0.130169593  +1291.716463    +0.4267479    -0.0250157    -0.1762511    +1
  3493   +349.300  +0.752600209  -0.130169329  +1291.735447    +0.4209253    -0.0240098    -0.1760735    +1
  3494   +349.400  +0.752600641  -0.130169068  +1291.755495    +0.4149101    -0.0232451    -0.1758898    +1
  3495   +349.500  +0.752601073  -0.130168811  +1291.776415    +0.4088096    -0.0228365    -0.1758039    +1
  3496   +349.600  +0.752601507  -0.130168557  +1291.797613    +0.4027569    -0.0226834    -0.1758328    +1
  3497   +349.700  +0.752601942  -0.130168307  +1291.818614    +0.3967338    -0.0228884    -0.1758153    +1
  3498   +349.800  +0.752602378  -0.130168060  +1291.838826    +0.3906743    -0.0235197    -0.1757339    +1
  3499   +349.900  +0.752602814  -0.130167816  +1291.857436    +0.3846652    -0.0244083    -0.1756881    +1
  3500   +350.000  +0.752603252  -0.130167576  +1291.873559    +0.3786595    -0.0252254    -0.1756601    +1
  3501   +350.100  +0.752603690  -0.130167340  +1291.887034    +0.3726827    -0.0262920    -0.1756266    +1
  3502   +350.200  +0.752604130  -0.130167107  +1291.898081    +0.3668225    -0.0281540    -0.1755566    +1
  3503   +350.300  +0.752604571  -0.130166877  +1291.906045    +0.3610188    -0.0302568    -0.1754658    +1
  3504   +350.400  +0.752605012  -0.130166651  +1291.909781    +0.3552214    -0.0317162    -0.1754005    +1
  3505   +350.500  +0.752605454  -0.130166428  +1291.909058    +0.3493240    -0.0323816    -0.1753089    +1
  3506   +350.600  +0.752605898  -0.130166208  +1291.904305    +0.3432888    -0.0326095    -0.1751928    +1
  3507   +350.700  +0.752606342  -0.130165992  +1291.896110    +0.3373513    -0.0329708    -0.1751810    +1
  3508   +350.800  +0.752606787  -0.130165779  +1291.885134    +0.3318271    -0.0338162    -0.1753024    +1
  3509   +350.900  +0.752607234  -0.130165570  +1291.871398    +0.3267645    -0.0347932    -0.1753933    +1
  3510   +351.000  +0.752607681  -0.130165365  +1291.854085    +0.3218036    -0.0350503    -0.1752339    +1
  3511   +351.100  +0.752608129  -0.130165162  +1291.832832    +0.3166450    -0.0345589    -0.1748976    +1
  3512   +351.200  +0.752608578  -0.130164963  +1291.808376    +0.3113790    -0.0343583    -0.1745712    +1
  3513   +351.300  +0.752609028  -0.130164768  +1291.781667    +0.3062069    -0.0352093    -0.1743450    +1
  3514   +351.400  +0.752609479  -0.130164576  +1291.752801    +0.3010098    -0.0363406    -0.1741479    +1
  3515   +351.500  +0.752609930  -0.130164387  +1291.721411    +0.2954909    -0.0365291    -0.1739788    +1
  3516   +351.600  +0.752610383  -0.130164202  +1291.687728    +0.2894907    -0.0356286    -0.1738601    +1
  3517   +351.700  +0.752610836  -0.130164020  +1291.652781    +0.2831333    -0.0347003    -0.1738259    +1
  3518   +351.800  +0.752611291  -0.130163842  +1291.617787    +0.2767122    -0.0345650    -0.1739572    +1
  3519   +351.900  +0.752611746  -0.130163668  +1291.583325    +0.2704251    -0.0353242    -0.1742615    +1
  3520   +352.000  +0.752612202  -0.130163497  +1291.549058    +0.2642481    -0.0365594    -0.1745448    +1
  3521   +352.100  +0.752612659  -0.130163329  +1291.514076    +0.2581475    -0.0376037    -0.1747767    +1
  3522   +352.200  +0.752613116  -0.130163165  +1291.477624    +0.2521701    -0.0379149    -0.1750018    +1
  3523   +352.300  +0.752613575  -0.130163005  +1291.439942    +0.2463587    -0.0374198    -0.1751230    +1
  3524   +352.400  +0.752614034  -0.130162848  +1291.401916    +0.2407182    -0.0366294    -0.1750435    +1
  3525   +352.500  +0.752614494  -0.130162695  +1291.364351    +0.2351632    -0.0361198    -0.1747893    +1
  3526   +352.600  +0.752614955  -0.130162546  +1291.327654    +0.2294743    -0.0358812    -0.1744114    +1
  3527   +352.700  +0.752615417  -0.130162400  +1291.291819    +0.2234741    -0.0356722    -0.1740756    +1
  3528   +352.800  +0.752615879  -0.130162258  +1291.256804    +0.2171895    -0.0352538    -0.1739242    +1
  3529   +352.900  +0.752616342  -0.130162119  +1291.222572    +0.2108201    -0.0345145    -0.1739226    +1
  3530   +353.000  +0.752616806  -0.130161984  +1291.189147    +0.2047069    -0.0337649    -0.1740335    +1
  3531   +353.100  +0.752617270  -0.130161853  +1291.156745    +0.1990639    -0.0331335    -0.1741644    +1
  3532   +353.200  +0.752617735  -0.130161726  +1291.125741    +0.1939219    -0.0327037    -0.1741964    +1
  3533   +353.300  +0.752618201  -0.130161602  +1291.096152    +0.1890891    -0.0321345    -0.1740333    +1
  3534   +353.400  +0.752618667  -0.130161482  +1291.067874    +0.1842769    -0.0313191    -0.1737377    +1
  3535   +353.500  +0.752619134  -0.130161366  +1291.041076    +0.1791557    -0.0303221    -0.1733971    +1
  3536   +353.600  +0.752619601  -0.130161254  +1291.016300    +0.1735983    -0.0295668    -0.1731689    +1
  3537   +353.700  +0.752620069  -0.130161145  +1290.993511    +0.1675548    -0.0290631    -0.1731551    +1
  3538   +353.800  +0.752620537  -0.130161040  +1290.972259    +0.1611085    -0.0288397    -0.1734081    +1
  3539   +353.900  +0.752621005  -0.130160939  +1290.952585    +0.1545610    -0.0292864    -0.1739023    +1
  3540   +354.000  +0.752621474  -0.130160841  +1290.934285    +0.1481110    -0.0299877    -0.1744549    +1
  3541   +354.100  +0.752621944  -0.130160747  +1290.916748    +0.1418402    -0.0299746    -0.1748867    +1
  3542   +354.200  +0.752622413  -0.130160657  +1290.899772    +0.1357823    -0.0289027    -0.1751038    +1
  3543   +354.300  +0.752622883  -0.130160571  +1290.883869    +0.1298993    -0.0273468    -0.1750802    +1
  3544   +354.400  +0.752623354  -0.130160489  +1290.869736    +0.1240969    -0.0261831    -0.1748808    +1
  3545   +354.500  +0.752623824  -0.130160410  +1290.857576    +0.1182379    -0.0259005    -0.1745984    +1
  3546   +354.600  +0.752624295  -0.130160335  +1290.847111    +0.1122586    -0.0263709    -0.1743849    +1
  3547   +354.700  +0.752624767  -0.130160264  +1290.837415    +0.1062279    -0.0270586    -0.1743393    +1
  3548   +354.800  +0.752625238  -0.130160197  +1290.827392    +0.1003110    -0.0275138    -0.1744221    +1
  3549   +354.900  +0.752625710  -0.130160133  +1290.816398    +0.0945649    -0.0274160    -0.1744822    +1
  3550   +355.000  +0.752626182  -0.130160073  +1290.804334    +0.0889491    -0.0270380    -0.1744544    +1
  3551   +355.100  +0.752626654  -0.130160017  +1290.791851    +0.0834611    -0.0268569    -0.1743795    +1
  3552   +355.200  +0.752627126  -0.130159965  +1290.779385    +0.0779881    -0.0266949    -0.1742544    +1
  3553   +355.300  +0.752627598  -0.130159916  +1290.766756    +0.0723808    -0.0263000    -0.1740770    +1
  3554   +355.400  +0.752628071  -0.130159872  +1290.754415    +0.0666776    -0.0261067    -0.1738871    +1
  3555   +355.500  +0.752628543  -0.130159831  +1290.742891    +0.0609048    -0.0266010    -0.1737372    +1
  3556   +355.600  +0.752629016  -0.130159793  +1290.731576    +0.0550651    -0.0275768    -0.1737320    +1
  3557   +355.700  +0.752629489  -0.130159760  +1290.719666    +0.0492933    -0.0287872    -0.1738717    +1
  3558   +355.800  +0.752629962  -0.130159730  +1290.706425    +0.0435824    -0.0298402    -0.1740558    +1
  3559   +355.900  +0.752630435  -0.130159703  +1290.690716    +0.0377871    -0.0302391    -0.1741730    +1
  3560   +356.000  +0.752630908  -0.130159681  +1290.672216    +0.0319800    -0.0302821    -0.1742028    +1
  3561   +356.100  +0.752631381  -0.130159662  +1290.651557    +0.0263342    -0.0306601    -0.1741872    +1
  3562   +356.200  +0.752631854  -0.130159647  +1290.629098    +0.0207996    -0.0313723    -0.1740855    +1
  3563   +356.300  +0.752632328  -0.130159635  +1290.604981    +0.0152009    -0.0318963    -0.1739364    +1
  3564   +356.400  +0.752632801  -0.130159627  +1290.579186    +0.0094399    -0.0318857    -0.1737720    +1
  3565   +356.500  +0.752633275  -0.130159623  +1290.552057    +0.0035893    -0.0315624    -0.1736801    +1
  3566   +356.600  +0.752633748  -0.130159622  +1290.524545    -0.0022259    -0.0313674    -0.1736292    +1
  3567   +356.700  +0.752634222  -0.130159626  +1290.496901    -0.0080587    -0.0313575    -0.1735348    +1
  3568   +356.800  +0.752634696  -0.130159633  +1290.468496    -0.0141532    -0.0309117    -0.1734155    +1
  3569   +356.900  +0.752635169  -0.130159643  +1290.439347    -0.0205124    -0.0299630    -0.1733868    +1
  3570   +357.000  +0.752635643  -0.130159658  +1290.410275    -0.0268956    -0.0292652    -0.1734989    +1
  3571   +357.100  +0.752636116  -0.130159676  +1290.381828    -0.0331754    -0.0290977    -0.1736637    +1
  3572   +357.200  +0.752636590  -0.130159698  +1290.354192    -0.0392668    -0.0294076    -0.1738415    +1
  3573   +357.300  +0.752637063  -0.130159724  +1290.327280    -0.0451041    -0.0301026    -0.1740228    +1
  3574   +357.400  +0.752637537  -0.130159753  +1290.300502    -0.0507483    -0.0304711    -0.1741762    +1
  3575   +357.500  +0.752638010  -0.130159786  +1290.273431    -0.0562920    -0.0299861    -0.1741879    +1
  3576   +357.600  +0.752638483  -0.130159823  +1290.246659    -0.0617760    -0.0290624    -0.1740627    +1
  3577   +357.700  +0.752638956  -0.130159864  +1290.220793    -0.0672879    -0.0281473    -0.1738558    +1
  3578   +357.800  +0.752639428  -0.130159909  +1290.195878    -0.0728650    -0.0274188    -0.1736548    +1
  3579   +357.900  +0.752639900  -0.130159957  +1290.172329    -0.0783798    -0.0276360    -0.1735717    +1
  3580   +358.000  +0.752640372  -0.130160009  +1290.149892    -0.0838257    -0.0285667    -0.1736667    +1
  3581   +358.100  +0.752640844  -0.130160065  +1290.127383    -0.0893716    -0.0290867    -0.1738405    +1
  3582   +358.200  +0.752641315  -0.130160124  +1290.104194    -0.0950424    -0.0289347    -0.1740752    +1
  3583   +358.300  +0.752641786  -0.130160188  +1290.080747    -0.1007365    -0.0287457    -0.1742700    +1
  3584   +358.400  +0.752642256  -0.130160255  +1290.057443    -0.1065823    -0.0287960    -0.1743449    +1
  3585   +358.500  +0.752642726  -0.130160325  +1290.034352    -0.1127194    -0.0288721    -0.1743511    +1
  3586   +358.600  +0.752643196  -0.130160400  +1290.011786    -0.1190218    -0.0290024    -0.1745062    +1
  3587   +358.700  +0.752643665  -0.130160478  +1289.989533    -0.1252686    -0.0290581    -0.1747961    +1
  3588   +358.800  +0.752644133  -0.130160559  +1289.967052    -0.1314339    -0.0286967    -0.1750213    +1
  3589   +358.900  +0.752644601  -0.130160645  +1289.944664    -0.1376026    -0.0281834    -0.1750593    +1
  3590   +359.000  +0.752645069  -0.130160734  +1289.922961    -0.1438558    -0.0279755    -0.1749279    +1
  3591   +359.100  +0.752645536  -0.130160827  +1289.901786    -0.1502819    -0.0278320    -0.1747272    +1
  3592   +359.200  +0.752646002  -0.130160923  +1289.880943    -0.1567840    -0.0274035    -0.1746163    +1
  3593   +359.300  +0.752646468  -0.130161024  +1289.860448    -0.1632428    -0.0267462    -0.1745289    +1
  3594   +359.400  +0.752646933  -0.130161128  +1289.840122    -0.1695902    -0.0260800    -0.1744010    +1
  3595   +359.500  +0.752647398  -0.130161235  +1289.820328    -0.1757302    -0.0255584    -0.1742626    +1
  3596   +359.600  +0.752647862  -0.130161347  +1289.801982    -0.1815855    -0.0252858    -0.1741255    +1
  3597   +359.700  +0.752648326  -0.130161462  +1289.785131    -0.1872353    -0.0250622    -0.1738661    +1
  3598   +359.800  +0.752648789  -0.130161581  +1289.769713    -0.1928252    -0.0249940    -0.1734976    +1
  3599   +359.900  +0.752649252  -0.130161704  +1289.756245    -0.1984181    -0.0253042    -0.1731911    +1
  3600   +360.000  +0.752649714  -0.130161831  +1289.744749    -0.2039919    -0.0257574    -0.1729491    +1
  3601   +360.100  +0.752650175  -0.130161961  +1289.734212    -0.2095381    -0.0255843    -0.1727924    +1
  3602   +360.200  +0.752650636  -0.130162095  +1289.723894    -0.2150310    -0.0247758    -0.1727288    +1
  3603   +360.300  +0.752651096  -0.130162232  +1289.714008    -0.2203671    -0.0244774    -0.1726579    +1
  3604   +360.400  +0.752651556  -0.130162373  +1289.704542    -0.2255832    -0.0251656    -0.1725492    +1
  3605   +360.500  +0.752652015  -0.130162518  +1289.694892    -0.2308358    -0.0261875    -0.1724378    +1
  3606   +360.600  +0.752652474  -0.130162667  +1289.683823    -0.2363087    -0.0262127    -0.1724243    +1
  3607   +360.700  +0.752652932  -0.130162819  +1289.670866    -0.2420273    -0.0251313    -0.1724542    +1
  3608   +360.800  +0.752653390  -0.130162975  +1289.657007    -0.2479414    -0.0241053    -0.1724919    +1
  3609   +360.900  +0.752653847  -0.130163134  +1289.643206    -0.2540862    -0.0238179    -0.1725427    +1
  3610   +361.000  +0.752654303  -0.130163297  +1289.629739    -0.2605446    -0.0235646    -0.1726665    +1
  3611   +361.100  +0.752654759  -0.130163463  +1289.616967    -0.2672759    -0.0225758    -0.1729119    +1
  3612   +361.200  +0.752655215  -0.130163633  +1289.605874    -0.2741970    -0.0210260    -0.1731718    +1
  3613   +361.300  +0.752655669  -0.130163807  +1289.597589    -0.2811232    -0.0199327    -0.1734159    +1
  3614   +361.400  +0.752656123  -0.130163985  +1289.592108    -0.2878819    -0.0196228    -0.1737340    +1
